#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
129,Réunion,18425,,135,,16794,,1496,54,20463,150,100098,111171,900,396,49,6670,9,,
130,Eswatini,18417,2,671,,17712,30,34,3,15745,574,178676,152752,1,169,712,64,1743,7,
131,Mauritania,18129,8,453,1,17484,11,192,14,3820,95,221086,46582,4,746,170,262,10477,21,
132,French Guiana,18081,,95,,9995,,7991,13,59322,312,200985,659408,304,796,17,3208,2,,
133,Tajikistan,13308,,90,,13218,,0,,1371,9,,,9,707,83,729,107856,,
134,Burkina Faso,13129,15,154,,12759,9,216,,615,7,176994,8288,21,355,685,1627,138673,121,
135,Somalia,13079,242,670,14,5413,67,6996,,805,41,104392,6427,16,243,130,1242,24243,156,
136,Mali,13070,90,433,4,7432,47,5205,,631,21,247184,11935,20,710,945,1585,47831,84,
137,Haiti,12918,,251,,11791,,876,,1122,22,60085,5219,11,512,932,891,45868,192,
138,Andorra,12805,34,123,,12203,44,479,29,165516,1590,193595,2502391,77,364,6,629,0,,
139,Guadeloupe,12717,,176,,2242,,10299,13,31778,440,164128,410136,400,179,31,2274,2,,
140,Belize,12538,,318,,12143,,77,1,31085,788,109796,272212,403,348,32,1268,4,,
141,Togo,12533,37,119,,10208,45,2206,,1486,14,300239,35607,8,432,128,673,70858,28,
142,Curaçao,11882,45,89,1,9277,266,2516,22,72175,541,89727,545029,164,628,14,1850,2,,
143,Guyana,11863,101,271,3,10180,19,1412,12,15025,343,107974,136750,789,575,67,2914,7,,
144,Hong Kong,11684,30,209,,11270,12,205,4,1549,28,11193673,1483517,7,545,364,646,36102,1,
145,Lesotho,10709,,315,,5028,,5366,,4968,146,71629,33227,2,155,759,201,6844,30,
146,South Sudan,10473,21,114,,10215,,144,,927,10,143571,12708,11,297,979,1079,99105,79,
147,Djibouti,10460,48,116,2,9172,182,1172,,10466,116,144015,144101,999,401,96,8616,7,,
148,Aruba,10324,19,92,,9781,56,451,14,96372,859,140662,1313040,107,127,10,1164,1,,
149,Congo,10084,,139,,8208,,1737,,1793,25,92500,16443,5,625,418,558,40471,61,
150,Martinique,9890,,64,,98,,9728,24,26371,171,140946,375823,375,33,38,5860,3,,
151,Papua New Guinea,9738,223,89,5,846,,8803,,1072,10,70260,7737,9,81,270,933,102037,129,
152,Bahamas,9634,,194,,8984,,456,3,24314,490,81855,206584,396,231,41,2042,5,,
153,Suriname,9581,36,187,,8829,24,565,14,16217,317,47424,80269,590,812,62,3159,12,,
154,Trinidad and Tobago,8940,134,153,3,7940,32,847,8,6372,109,120513,85891,1,403,99,157,9171,12,
155,Benin,7611,,95,,6728,,788,35,615,8,575088,46476,12,373,962,1626,130252,22,
156,Equatorial Guinea,7259,,106,,6885,,268,11,5043,74,116266,80781,1,439,282,198,13578,12,
157,Nicaragua,6778,,180,,4225,,2373,,1014,27,,,6,687,161,987,37151,,
158,Cambodia,6389,618,43,4,2476,60,3870,,378,3,811284,47998,16,902,622,2646,393084,21,
159,Iceland,6286,,29,,6184,,73,3,18326,85,568908,1658595,343,6,55,11828,1,,
160,Yemen,5812,42,1126,7,2219,10,2467,23,192,37,22934,756,30,345,627,5221,26950,1323,
161,CAR,5787,59,75,,5112,,600,2,1182,15,40907,8355,4,896,325,846,65284,120,
162,Gambia,5720,,170,,5190,,360,3,2316,69,60815,24619,2,470,240,432,14531,41,
163,Niger,5131,15,190,,4779,8,162,23,206,8,95658,3842,24,895,659,4852,131030,260,
164,San Marino,5030,4,87,,4746,22,197,4,147993,2560,58004,1706602,33,988,7,391,1,,
165,Seychelles,4922,47,25,,4351,,546,,49802,253,21504,217581,98,832,20,3953,5,,
166,Chad,4706,15,169,1,4342,7,195,,280,10,110863,6600,16,797,687,3569,99395,152,
167,Saint Lucia,4401,,67,,4238,,96,3,23880,364,38600,209447,184,295,42,2751,5,,
168,Gibraltar,4291,,94,,4181,,16,1,127394,2791,225212,6686222,33,683,8,358,0,,
169,Channel Islands,4053,,86,,3956,,11,1,23142,491,399901,2283361,175,137,43,2036,0,,
170,Sierra Leone,4028,8,79,,2849,1,1100,,497,10,119155,14701,8,105,403,2012,102600,68,
171,Comoros,3819,4,146,,3595,6,78,,4319,165,,,884,260,232,6057,,,
172,Barbados,3781,8,44,,3665,9,72,,13144,153,148641,516732,287,656,76,6538,2,,
173,Guinea-Bissau,3712,2,66,,3142,25,504,9,1852,33,61814,30833,2,4,773,540,30375,32,
174,Eritrea,3491,,10,,3288,,193,,974,3,23693,6608,3,585,380,1027,358538,151,
175,Burundi,3477,,6,,773,,2698,,286,0.5,90019,7397,12,170,25,3500,2028338,135,
176,Liechtenstein,2813,9,56,,2665,,92,3,73610,1465,32252,843962,38,215,14,682,1,,
177,Vietnam,2784,3,35,,2475,,274,,28,0.4,2598753,26508,98,35,43,35214,2801001,38,
178,New Zealand,2595,4,26,,2467,3,102,,519,5,1972640,394362,5002100,1928,192388,3,,,
179,Monaco,2399,4,31,,2292,10,76,5,60791,786,51953,1316499,39,463,16,1273,1,,
180,Turks and Caicos,2369,,17,,2291,1,61,2,60537,434,45274,1156926,39,133,17,2302,1,,
181,Sao Tome and Principe,2275,,35,,2212,2,28,,10230,157,12597,56646,222,383,98,6354,18,,
182,Sint Maarten,2205,,27,,2144,,34,1,50967,624,25322,585304,43,263,20,1602,2,,
183,Bermuda,2123,,18,,1237,,868,41,34190,290,225628,3633652,62,94,29,3450,0,,
